player_name,fantasy_score,player_team,venue,batting_first_team,bowling_first_team
B Lee,11,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
YK Pathan,-4,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
"AJ Finch, NV Ojha",14,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
R Bhatia,32,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
GJ Maxwell,-1,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
UT Yadav,64,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
NV Ojha,28,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
AJ Finch,29,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
MK Tiwary,0,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
BB McCullum,9,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
DB Das,20,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
S Nadeem,0,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
JH Kallis,38,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
IK Pathan,50,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
G Gambhir,18,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
V Sehwag,23,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
Y Nagar,8,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
M de Lange,0,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
RE van der Merwe,83,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
LR Shukla,31,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
WD Parnell,32,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
MM Patel,84,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
M Kartik,75,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
R Sharma,33,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
MK Pandey,0,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
JEC Franklin,29,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
CJ Ferguson,21,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
KD Karthik,54,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
SL Malinga,72,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
SPD Smith,43,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
KA Pollard,66,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
SC Ganguly,3,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
RG Sharma,15,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
"KD Karthik, KA Pollard",14,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
AT Rayudu,1,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
SA Yadav,0,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
RV Uthappa,91,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
Harbhajan Singh,43,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
PP Ojha,33,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
AB Dinda,108,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
B Kumar,2,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
MN Samuels,37,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
RE Levi,0,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
SP Goswami,8,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
AM Rahane,108,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
R Dravid,33,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
J Botha,0,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
"KK Cooper, SP Goswami",14,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
SK Trivedi,25,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
KK Cooper,138,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
PC Valthaty,15,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
Harmeet Singh,26,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
AA Chavan,58,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
Mandeep Singh,37,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
AC Gilchrist,30,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
